Player 1,Player 2,Score 1,Score 2
Davis,DefectTitForTat,73,73
Davis,Feld,117,117
Davis,DefectTitForTat,150,150
Davis,GraaskampStrategy,150,150
Davis,Grudger,150,150
Davis,HarringtonStrategy,150,150
Davis,JossStrategy,73,73
Davis,Malthrin,150,150
Davis,NameWithheld,63,83
Davis,RandomStrategy,115,70
Davis,TitForTat,150,150
DefectTitForTat,Feld,98,98
DefectTitForTat,DefectTitForTat,53,53
DefectTitForTat,GraaskampStrategy,125,125
DefectTitForTat,Grudger,53,53
DefectTitForTat,HarringtonStrategy,50,50
DefectTitForTat,JossStrategy,86,86
DefectTitForTat,Malthrin,53,53
DefectTitForTat,NameWithheld,63,63
DefectTitForTat,RandomStrategy,98,98
DefectTitForTat,TitForTat,125,125
Feld,DefectTitForTat,101,101
Feld,GraaskampStrategy,96,91
Feld,Grudger,111,111
Feld,HarringtonStrategy,123,123
Feld,JossStrategy,68,68
Feld,Malthrin,93,93
Feld,NameWithheld,60,65
Feld,RandomStrategy,113,98
Feld,TitForTat,150,150
DefectTitForTat,GraaskampStrategy,150,150
DefectTitForTat,Grudger,150,150
DefectTitForTat,HarringtonStrategy,57,52
DefectTitForTat,JossStrategy,57,57
DefectTitForTat,Malthrin,150,150
DefectTitForTat,NameWithheld,59,54
DefectTitForTat,RandomStrategy,137,32
DefectTitForTat,TitForTat,150,150
GraaskampStrategy,Grudger,150,150
GraaskampStrategy,HarringtonStrategy,150,150
GraaskampStrategy,JossStrategy,95,100
GraaskampStrategy,Malthrin,150,150
GraaskampStrategy,NameWithheld,55,60
GraaskampStrategy,RandomStrategy,112,117
GraaskampStrategy,TitForTat,150,150
Grudger,HarringtonStrategy,150,150
Grudger,JossStrategy,57,57
Grudger,Malthrin,150,150
Grudger,NameWithheld,65,50
Grudger,RandomStrategy,129,34
Grudger,TitForTat,150,150
HarringtonStrategy,JossStrategy,150,150
HarringtonStrategy,Malthrin,52,57
HarringtonStrategy,NameWithheld,47,62
HarringtonStrategy,RandomStrategy,150,35
HarringtonStrategy,TitForTat,63,58
JossStrategy,Malthrin,71,71
JossStrategy,NameWithheld,60,65
JossStrategy,RandomStrategy,120,105
JossStrategy,TitForTat,69,64
Malthrin,NameWithheld,57,52
Malthrin,RandomStrategy,163,28
Malthrin,TitForTat,150,150
NameWithheld,RandomStrategy,167,32
NameWithheld,TitForTat,58,53
RandomStrategy,TitForTat,115,110
,,,
final rankings (total score),,,
DefectTitForTat,,2091,
GraaskampStrategy,,1378,
Davis,,1341,
Grudger,,1315,
TitForTat,,1310,
Malthrin,,1244,
HarringtonStrategy,,1137,
Feld,,1130,
JossStrategy,,911,
NameWithheld,,779,
RandomStrategy,,764,
